Coefficients
-------------
Constant: 3526.422
Beta1: 90.02
Beta2: 1.269
Beta3: 23.406
Beta4: 722.461

ID, Actual values, Fitted values
--------------------------------
1, 3900, 4630.1
2, 4020, 4646.3
3, 4290, 5315.2
4, 4380, 4418.3
5, 4380, 4396.5
6, 4380, 4770.5
7, 4380, 4840.7
8, 4380, 4752.8
9, 4440, 5018.7
10, 4500, 4382.8
11, 4500, 5061.5
12, 4620, 4742.9
13, 4800, 4803.5
14, 4800, 5152.6
15, 4800, 4901.5
16, 4800, 5018.5
17, 4800, 5201.5
18, 4800, 5351.2
19, 4800, 5094.4
20, 4800, 5504.6
21, 4800, 5113.6
22, 4800, 5589.4
23, 4980, 5235.3
24, 5100, 5140.8
25, 5100, 5003.4
26, 5100, 5009.2
27, 5100, 5046.1
28, 5100, 5179.7
29, 5100, 5403.7
30, 5160, 4910.4
31, 5220, 5054.8
32, 5220, 5446.6
33, 5280, 4618.3
34, 5280, 4511.1
35, 5280, 4999.9
36, 5400, 5261.9
37, 5400, 5308.3
38, 5400, 4897.1
39, 5400, 5424.8
40, 5400, 5169.8
41, 5400, 5389.5
42, 5400, 5453.1
43, 5400, 4939.7
44, 5400, 5211.5
45, 5400, 5570.9
46, 5400, 5433
47, 5400, 5803.9
48, 5520, 5127.7
49, 5520, 5604.4
50, 5580, 5477
51, 5640, 4887.1
52, 5700, 5259.2
53, 5700, 5339.7
54, 5700, 5339.4
55, 5700, 5211.6
56, 5700, 5978.4
57, 6000, 5462.4
58, 6000, 5280.6
59, 6120, 5362.8
60, 6300, 5488.8
61, 6300, 5521
62, 4620, 5858.7
63, 5040, 5687.2
64, 5100, 5908.6
65, 5100, 5775.7
66, 5220, 5693.6
67, 5400, 5829.5
68, 5400, 5634.8
69, 5400, 5542.7
70, 5400, 5808.6
71, 5400, 6312.2
72, 5700, 5761.9
73, 6000, 5866.7
74, 6000, 5406.4
75, 6000, 5767.6
76, 6000, 5578.6
77, 6000, 6172.6
78, 6000, 5906.4
79, 6000, 6119
80, 6000, 5935.2
81, 6000, 6393.2
82, 6000, 5951.1
83, 6000, 6452.8
84, 6000, 6110.7
85, 6000, 5817.2
86, 6300, 6088.5
87, 6600, 6054.9
88, 6600, 6478.2
89, 6600, 6247.2
90, 6840, 5815.7
91, 6900, 5785.3
92, 6900, 6328.4
93, 8100, 6530.8

Model Summary
-------------
R-square = .5109
MSE = 243633.752
